IEFN,iShares Evolved U.S. Financials ETF,Broad Financials,$5.19,4.63%,1940,$26.57,0.26%, 
VFIN,Simplify Volt Fintech Disruption ETF,Broad Financials,$3.65,9.68%,N/A,$13.40,-0.52%, 
INDF,Nifty India Financials ETF,Broad Financials,$3.33,8.78%,3621,$34.18,1.00%, 
LEND,Amplify CrowdBureau Peer-to-Peer Lending & Crowdfunding ETF,Broad Financials,$0.79,18.33%,1356,$16.41,1.48%,
XLV,Health Care Select Sector SPDR Fund,Broad Healthcare,"$25,010.40",1.97%,8540330,$115.67,0.18%, 
VHT,Vanguard Healthcare ETF,Broad Healthcare,"$13,891.20",4.15%,268503,$233.02,0.48%, 
ARKG,ARK Genomic Revolution ETF,Biotechnology,"$11,614.70",16.78%,4479489,$108.90,-0.03%, 
IBB,iShares Nasdaq Biotechnology ETF,Biotechnology,"$10,914.20",11.59%,2836776,$169.05,1.76%, 
IHI,iShares U.S. Medical Devices ETF,Medical Devices,"$8,797.70",4.15%,217613,$340.88,1.10%, 
XBI,SPDR S&P Biotech ETF,Biotechnology,"$8,465.68",18.47%,4942429,$166.78,2.46%, 
FHLC,Fidelity MSCI Health Care Index ETF,Broad Healthcare,"$2,576.69",4.10%,223022,$60.12,0.60%, 
IYH,iShares U.S. Healthcare ETF,Broad Healthcare,"$2,567.18",3.32%,38429,$254.08,0.55%, 
IXJ,iShares Global Healthcare ETF,Broad Healthcare,"$2,531.55",1.20%,132510,$77.37,0.22%, 
FBT,First Trust Amex Biotechnology Index,Biotechnology,"$2,157.27",8.62%,61541,$182.47,1.37%, 
FXH,First Trust Health Care AlphaDEX Fund,Broad Healthcare,"$1,448.71",3.41%,67635,$111.45,0.33%, 
IHF,iShares U.S. Healthcare Providers ETF,Healthcare Services,"$1,157.14",2.68%,30397,$240.96,-0.53%, 
PTH,Invesco DWA Healthcare Momentum ETF,Broad Healthcare,$824.12,11.87%,47321,$179.06,1.62%, 
EDOC,Global X Telemedicine & Digital Health ETF,Broad Healthcare,$804.29,12.71%,457573,$21.73,0.79%, 
XHE,SPDR S&P Health Care Equipment ETF,Medical Devices,$782.21,9.94%,32603,$125.15,1.81%, 
RYH,Invesco S&P 500® Equal Weight Health Care ETF,Broad Healthcare,$776.16,2.58%,7692,$268.33,0.04%, 
PSCH,Invesco S&P SmallCap Health Care ETF,Broad Healthcare,$529.27,12.77%,13871,$191.58,1.62%, 
BBH,VanEck Vectors Biotech ETF,Biotechnology,$521.31,13.68%,17206,$192.91,1.62%, 
LABU,Direxion Daily S&P Biotech Bull 3x Shares,Biotechnology,$433.86,61.80%,952613,$162.50,7.85%, 
PJP,Invesco Dynamic Pharmaceuticals ETF,Pharmaceutical,$376.36,12.58%,19671,$80.38,1.70%, 
IHE,iShares U.S. Pharmaceuticals ETF,Pharmaceutical,$362.32,1.97%,13819,$182.97,0.43%, 
YOLO,AdvisorShares Pure Cannabis ETF,Broad Healthcare,$335.85,53.24%,463427,$26.05,0.70%, 
XPH,SPDR S&P Pharmaceuticals ETF,Pharmaceutical,$295.58,4.07%,59060,$54.18,0.46%, 
PBE,Invesco Dynamic Biotechnology & Genome ETF,Biotechnology,$294.95,15.33%,8316,$80.88,3.11%, 
SBIO,ALPS Medical Breakthroughs ETF,Biotechnology,$292.69,19.52%,28198,$61.23,2.41%,
IDNA,iShares Genomics Immunology and Healthcare ETF,Biotechnology,$282.42,16.02%,77783,$53.30,1.37%, 
BIB,ProShares Ultra Nasdaq Biotechnology,Biotechnology,$271.51,23.93%,128603,$106.98,3.37%, 
PPH,VanEck Vectors Pharmaceutical ETF,Pharmaceutical,$243.61,4.17%,38654,$69.24,-0.03%, 
KURE,KraneShares MSCI All China Health Care Index ETF,Pharmaceutical,$217.63,12.70%,82011,$44.01,1.92%, 
HTEC,ROBO Global Healthcare Technology and Innovation ETF,Broad Healthcare,$187.06,14.48%,65952,$50.05,1.73%, 
BTEC,Principal Healthcare Innovators Index ETF,Biotechnology,$171.15,16.55%,21260,$68.44,2.12%, 
GNOM,Global X Genomics & Biotechnology ETF,Biotechnology,$167.70,14.44%,105448,$27.03,1.81%, 
XHS,SPDR S&P Health Care Services ETF,Healthcare Services,$140.73,11.06%,12408,$107.47,0.79%, 
CURE,Direxion Daily Healthcare Bull 3x Shares,Broad Healthcare,$139.40,5.23%,72810,$81.05,0.68%, 
RXL,ProShares Ultra Health Care,Broad Healthcare,$120.79,6.57%,6702,$80.66,1.07%, 
LABD,Direxion Daily S&P Biotech Bear 3x Shares,Biotechnology,$119.99,-43.29%,1905568,$14.33,-7.55%, 
POTX,Global X Cannabis ETF,Pharmaceutical,$115.43,85.35%,298659,$18.35,-1.50%, 
CNBS,Amplify Seymour Cannabis ETF,Broad Healthcare,$72.98,67.28%,116810,$29.19,0.59%, 
GERM,ETFMG Treatments Testing and Advancements ETF,Broad Healthcare,$64.42,36.55%,44386,$42.47,1.92%, 
LNGR,Global X Longevity Thematic ETF,Broad Healthcare,$55.94,4.73%,9035,$29.24,0.69%, 
BBC,Virtus LifeSci Biotech Clinical Trials ETF,Biotechnology,$53.79,19.48%,9659,$59.25,3.48%, 
JHMH,John Hancock Multi-Factor Health Care ETF,Broad Healthcare,$52.71,3.57%,5251,$44.76,0.40%, 
MJJ,Indxx MicroSectors Cannabis ETN,Pharmaceutical,$51.54,26.85%,646,$85.86,-0.37%, 
VMOT,Alpha Architect Value Momentum Trend ETF,Healthcare Services,$51.54,8.47%,9000,$28.31,1.25%, 
CNCR,Loncar Cancer Immunotherapy ETF,Biotechnology,$51.44,10.80%,10673,$35.14,1.36%, 
IEIH,iShares Evolved U.S. Innovative Healthcare ETF,Biotechnology,$35.52,7.09%,10456,$34.66,1.43%, 
